id,name,address,service,price,employees,duration,rate,points,price_variation
9664,Salon Bordeaux,3393 Adams Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9667,Clip Art Salon,4155 Adams Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9668,Diesel Salon,4222 Adams Avenue,['Exterior Window Cleaning'],,,,,,
9668,Diesel Salon,4222 Adams Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9669,La Loupe Vintage,3337 Adams Avenue,['Exterior Window Cleaning'],,,,,,
9671,Cecillia's Fine Jewelry,4669 Park Boulevard,['Interior/Exterior Window Cleaning'],,,,,,
9671,Cecillia's Fine Jewelry,4669 Park Boulevard,['Exterior Window Cleaning'],,,,,,
9678,Rip Current Brewing,4101 30th Street,['Interior/Exterior Window Cleaning'],,,,,,
9678,Rip Current Brewing,4101 30th Street,['Exterior Window Cleaning'],,,,,,
9678,Rip Current Brewing,4101 30th Street,['Cash'],,,,,,
9691,Jo's Diner,807 West Washington Street,['Interior/Exterior Window Cleaning'],,,,,,
9692,Thread & Seed (Bankers Hill),2870 Fourth Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9692,Thread & Seed (Bankers Hill),2870 Fourth Avenue,['Exterior Window Cleaning'],,,,,,
9693,Home Care of La Jolla,5762 La Jolla Boulevard,['Exterior Window Cleaning'],,,,,,
9693,Home Care of La Jolla,5762 La Jolla Boulevard,['Interior/Exterior Window Cleaning'],,,,,,
9696,Pop Pie Company,4404 Park Boulevard,['Interior/Exterior Window Cleaning'],,,,,,
9697,The Book Catapult,3010 Juniper Street,['Exterior Window Cleaning'],,,,,,
9697,The Book Catapult,3010 Juniper Street,['Interior/Exterior Window Cleaning'],,,,,,
9698,Community Realty Co.,2225 30th Street,['Exterior Window Cleaning'],,,,,,
9698,Community Realty Co.,2225 30th Street,['Interior/Exterior Window Cleaning'],,,,,,
9700,Thread & Seed (South Park),2220 Fern Street,['Interior/Exterior Window Cleaning'],,,,,,
9701,The Gensler Group,120 C Avenue,['Exterior Window Cleaning'],,,,,,
9701,The Gensler Group,120 C Avenue,['Invoice'],,,,,,
9703,Gold Leaf,2225 30th Street,['Exterior Window Cleaning'],,,,,,
9710,Studio Barre Mission Hills,321 West Washington Street,['Interior/Exterior Window Cleaning'],,,,,,
9710,Studio Barre Mission Hills,321 West Washington Street,['invoice $160 in/out or $55 out only'],,,,,,
9710,Studio Barre Mission Hills,321 West Washington Street,['Invoice'],,,,,,
9712,Koi,5632 La Jolla Boulevard,['Interior/Exterior Window Cleaning'],,,,,,
9712,Koi,5632 La Jolla Boulevard,['Exterior Window Cleaning'],,,,,,
9717,La Jolla Golf Carts,7512 La Jolla Boulevard,['Exterior Window Cleaning'],,,,,,
9723,"Jean Farbod DDS, Inc",120 C Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9726,Belle Sirene,7838 Herschel Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9726,Belle Sirene,7838 Herschel Avenue,['Exterior Window Cleaning'],,,,,,
9728,Babycakes,3795 Fourth Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9728,Babycakes,3795 Fourth Avenue,['invoice'],,,,,,
9728,Babycakes,3795 Fourth Avenue,['Invoice'],,,,,,
9730,Perry's Cafe,4620 Pacific Highway,['Interior/Exterior Window Cleaning'],,,,,,
9730,Perry's Cafe,4620 Pacific Highway,"['Interior/Exterior Window Cleaning', 'Coupon']",,,,,,
9730,Perry's Cafe,4620 Pacific Highway,['Invoice'],,,,,,
9730,Perry's Cafe,4620 Pacific Highway,['invoice'],,,,,,
9737,Ray Street Custom Framing,3807 Ray Street,['Interior/Exterior Window Cleaning'],,,,,,
9737,Ray Street Custom Framing,3807 Ray Street,['Exterior Window Cleaning'],,,,,,
9744,Salon on First,1134 1st Street,['Exterior Window Cleaning'],,,,,,
9746,Salon1745,1745 Adams Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9769,Mullins Orthodonics,1116 1st Street,['Interior/Exterior Window Cleaning'],,,,,,
9802,Chakarian & Assocs Inc,3971 Goldfinch Street,['Exterior Window Cleaning'],,,,,,
9819,Ashen Salon,6903 La Jolla Boulevard,['Exterior Window Cleaning'],,,,,,
9856,Window Magic,1940 Metcalf Street,['Drive to first job'],,,,,,
9911,California Funeral Alternatives,1020 East Pennsylvania Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9911,California Funeral Alternatives,1020 East Pennsylvania Avenue,"['Interior/Exterior Window Cleaning', 'dicsount for middle suite']",,,,,,
9919,Mercer Group,4071 Adams Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9919,Mercer Group,4071 Adams Avenue,['Exterior Window Cleaning'],,,,,,
9920,Westminster Seminary,1725 Bear Valley Parkway,"['Exterior Window Cleaning', 'Exterior Window Cleaning', 'Exterior Window Cleaning', 'discount']",,,,,,
9920,Westminster Seminary,1725 Bear Valley Parkway,"['Exterior Window Cleaning', 'Exterior Window Cleaning', 'discount']",,,,,,
9968,Moosies Icecream,4073 Adams Avenue,['Interior/Exterior Window Cleaning'],,,,,,
9981,Marco's Jewelry,7951 Broadway,['Exterior Window Cleaning'],,,,,,
9992,Sew Pro's,2484 C Vista Way,['Exterior Window Cleaning'],,,,,,
9993,Tio Leos,5302 Napa Street,['Interior/Exterior Window Cleaning'],,,,,,
9993,Tio Leos,5302 Napa Street,['Exterior Window Cleaning'],,,,,,
10071,Huckleberry 's Breakfast and Lunch,1260 Auto Park Way,['Exterior Window Cleaning'],,,,,,
10085,The Dance Academy Del Mar,12843 El Camino Real,"['Exterior Window Cleaning', 'Interior/Exterior Window Cleaning', 'Mirror Cleaning']",,,,,,
10085,The Dance Academy Del Mar,12843 El Camino Real,"['Interior/Exterior Window Cleaning', 'Mirror Cleaning']",,,,,,
10085,The Dance Academy Del Mar,12843 El Camino Real,['Mirror Cleaning'],,,,,,
10112,Windansea Pilates,504 Nautilus Street,"['Interior/Exterior Window Cleaning', 'Mirror Cleaning']",,,,,,
10112,Windansea Pilates,504 Nautilus Street,['Mirror Cleaning'],,,,,,
10136,Pop Pie Commissary Kitchen,4445 Clairemont Mesa Boulevard,['Interior/Exterior Window Cleaning'],,,,,,
